invoice_id,client_id,country,issue_date,due_date,amount_usd,paid_date,status
INV-GT-B2B-002-2024-04,GT-B2B-002,Guatemala,2024-04-05,2024-05-20,1855677.54,2024-05-24,paid
INV-GT-B2B-002-2024-05,GT-B2B-002,Guatemala,2024-05-05,2024-06-19,1905759.81,2024-06-24,paid
INV-GT-B2B-002-2024-06,GT-B2B-002,Guatemala,2024-06-05,2024-07-20,1830711.0,2024-07-20,paid
INV-GT-B2B-002-2024-07,GT-B2B-002,Guatemala,2024-07-05,2024-08-19,1848410.31,2024-08-27,paid
INV-GT-B2B-002-2024-08,GT-B2B-002,Guatemala,2024-08-05,2024-09-19,1892806.06,2024-09-28,paid
INV-GT-B2B-002-2024-09,GT-B2B-002,Guatemala,2024-09-05,2024-10-20,1876041.05,2024-10-27,paid
INV-GT-B2B-002-2024-10,GT-B2B-002,Guatemala,2024-10-05,2024-11-19,1920753.33,2024-11-23,paid
INV-GT-B2B-002-2024-11,GT-B2B-002,Guatemala,2024-11-05,2024-12-20,1919064.92,2024-12-23,paid
INV-GT-B2B-002-2024-12,GT-B2B-002,Guatemala,2024-12-05,2025-01-19,1892575.02,2025-01-23,paid
INV-GT-B2B-002-2025-01,GT-B2B-002,Guatemala,2025-01-05,2025-02-19,1865967.17,2025-02-27,paid
INV-GT-B2B-002-2025-02,GT-B2B-002,Guatemala,2025-02-05,2025-03-22,1898008.42,2025-03-28,paid
INV-GT-B2B-002-2025-03,GT-B2B-002,Guatemala,2025-03-05,2025-04-19,1939257.17,2025-04-27,paid
INV-GT-B2B-002-2025-04,GT-B2B-002,Guatemala,2025-04-05,2025-05-20,1951297.72,2025-05-26,paid
INV-GT-B2B-002-2025-05,GT-B2B-002,Guatemala,2025-05-05,2025-06-19,1914043.19,2025-06-25,paid
INV-GT-B2B-002-2025-06,GT-B2B-002,Guatemala,2025-06-05,2025-07-20,1870926.97,2025-07-20,paid
INV-GT-B2B-002-2025-07,GT-B2B-002,Guatemala,2025-07-05,2025-08-19,1889332.5,2025-08-20,paid
INV-GT-B2B-002-2025-08,GT-B2B-002,Guatemala,2025-08-05,2025-09-19,1960441.98,2025-09-20,paid
INV-GT-B2B-002-2025-09,GT-B2B-002,Guatemala,2025-09-05,2025-10-20,1935001.49,2025-11-01,paid
INV-GT-B2B-002-2025-10,GT-B2B-002,Guatemala,2025-10-05,2025-11-19,1940688.77,2025-11-29,paid
INV-GT-B2B-002-2025-11,GT-B2B-002,Guatemala,2025-11-05,2025-12-20,1923204.4,2025-12-25,paid
INV-GT-B2B-002-2025-12,GT-B2B-002,Guatemala,2025-12-05,2026-01-19,1927379.96,2026-01-23,paid
INV-GT-B2B-002-2026-01,GT-B2B-002,Guatemala,2026-01-05,2026-02-19,2002637.43,2026-02-19,paid
INV-GT-B2B-002-2026-02,GT-B2B-002,Guatemala,2026-02-05,2026-03-22,1991412.57,2026-03-29,paid
INV-GT-B2B-002-2026-03,GT-B2B-002,Guatemala,2026-03-05,2026-04-19,1955741.93,2026-04-29,paid
INV-GT-B2B-002-2026-04,GT-B2B-002,Guatemala,2026-04-05,2026-05-20,1986932.71,2026-06-08,paid
INV-GT-B2B-002-2026-05,GT-B2B-002,Guatemala,2026-05-05,2026-06-19,1998306.18,2026-07-19,open
INV-GT-B2B-002-2026-06,GT-B2B-002,Guatemala,2026-06-05,2026-07-20,2058914.38,2026-08-22,open
INV-GT-B2B-003-2024-01,GT-B2B-003,Guatemala,2024-01-05,2024-03-05,1677359.92,2024-03-12,paid
INV-GT-B2B-003-2024-02,GT-B2B-003,Guatemala,2024-02-05,2024-04-05,1723897.73,2024-04-18,paid
INV-GT-B2B-003-2024-03,GT-B2B-003,Guatemala,2024-03-05,2024-05-04,1749599.7,2024-05-12,paid
INV-GT-B2B-003-2024-04,GT-B2B-003,Guatemala,2024-04-05,2024-06-04,1776149.34,2024-06-04,paid
INV-GT-B2B-003-2024-05,GT-B2B-003,Guatemala,2024-05-05,2024-07-04,1707249.38,2024-07-05,paid
INV-GT-B2B-003-2024-06,GT-B2B-003,Guatemala,2024-06-05,2024-08-04,1720094.51,2024-08-04,paid
INV-GT-B2B-003-2024-07,GT-B2B-003,Guatemala,2024-07-05,2024-09-03,1760108.29,2024-09-08,paid
INV-GT-B2B-003-2024-08,GT-B2B-003,Guatemala,2024-08-05,2024-10-04,1691732.36,2024-10-05,paid
INV-GT-B2B-003-2024-09,GT-B2B-003,Guatemala,2024-09-05,2024-11-04,1757577.34,2024-11-14,paid
INV-GT-B2B-003-2024-10,GT-B2B-003,Guatemala,2024-10-05,2024-12-04,1822296.6,2024-12-25,paid
INV-GT-B2B-003-2024-11,GT-B2B-003,Guatemala,2024-11-05,2025-01-04,1769944.21,2025-01-05,paid
INV-GT-B2B-003-2024-12,GT-B2B-003,Guatemala,2024-12-05,2025-02-03,1686264.6,2025-02-10,paid
INV-GT-B2B-003-2025-01,GT-B2B-003,Guatemala,2025-01-05,2025-03-06,1735672.2,2025-03-10,paid
INV-GT-B2B-003-2025-02,GT-B2B-003,Guatemala,2025-02-05,2025-04-06,1747014.86,2025-04-11,paid
INV-GT-B2B-003-2025-03,GT-B2B-003,Guatemala,2025-03-05,2025-05-04,1811158.98,2025-05-11,paid
INV-GT-B2B-003-2025-04,GT-B2B-003,Guatemala,2025-04-05,2025-06-04,1771756.7,2025-06-05,paid
INV-GT-B2B-003-2025-05,GT-B2B-003,Guatemala,2025-05-05,2025-07-04,1723138.71,2025-07-08,paid
INV-GT-B2B-003-2025-06,GT-B2B-003,Guatemala,2025-06-05,2025-08-04,1784364.53,2025-08-19,paid
INV-GT-B2B-003-2025-07,GT-B2B-003,Guatemala,2025-07-05,2025-09-03,1795422.49,2025-09-14,paid
INV-GT-B2B-003-2025-08,GT-B2B-003,Guatemala,2025-08-05,2025-10-04,1777389.73,2025-10-04,paid
INV-GT-B2B-003-2025-09,GT-B2B-003,Guatemala,2025-09-05,2025-11-04,1765309.98,2025-11-06,paid
INV-GT-B2B-003-2025-10,GT-B2B-003,Guatemala,2025-10-05,2025-12-04,1882677.4,2025-12-06,paid
INV-GT-B2B-003-2025-11,GT-B2B-003,Guatemala,2025-11-05,2026-01-04,1839313.09,2026-01-05,paid
INV-GT-B2B-003-2025-12,GT-B2B-003,Guatemala,2025-12-05,2026-02-03,1847347.34,2026-02-11,paid
INV-GT-B2B-003-2026-01,GT-B2B-003,Guatemala,2026-01-05,2026-03-06,1812094.57,2026-03-12,paid
INV-GT-B2B-003-2026-02,GT-B2B-003,Guatemala,2026-02-05,2026-04-06,1798615.65,2026-04-14,paid
INV-GT-B2B-003-2026-03,GT-B2B-003,Guatemala,2026-03-05,2026-05-04,1810331.99,2026-05-14,paid
INV-GT-B2B-003-2026-04,GT-B2B-003,Guatemala,2026-04-05,2026-06-04,1785231.41,2026-06-27,paid
INV-GT-B2B-003-2026-05,GT-B2B-003,Guatemala,2026-05-05,2026-07-04,1894936.83,2026-08-04,open
INV-GT-B2B-003-2026-06,GT-B2B-003,Guatemala,2026-06-05,2026-08-04,1836254.3,2026-09-08,open
INV-GT-B2B-004-2024-01,GT-B2B-004,Guatemala,2024-01-05,2024-02-04,1610910.73,2024-02-11,paid
INV-GT-B2B-004-2024-02,GT-B2B-004,Guatemala,2024-02-05,2024-03-06,1560424.64,2024-03-18,paid
INV-GT-B2B-004-2024-03,GT-B2B-004,Guatemala,2024-03-05,2024-04-04,1590818.31,2024-04-18,paid
INV-GT-B2B-004-2024-04,GT-B2B-004,Guatemala,2024-04-05,2024-05-05,1586983.41,2024-05-05,paid
INV-GT-B2B-004-2024-05,GT-B2B-004,Guatemala,2024-05-05,2024-06-04,1542345.01,2024-06-18,paid
INV-GT-B2B-004-2024-06,GT-B2B-004,Guatemala,2024-06-05,2024-07-05,1644830.55,2024-07-10,paid
INV-GT-B2B-004-2024-07,GT-B2B-004,Guatemala,2024-07-05,2024-08-04,1580904.56,2024-08-17,paid
INV-GT-B2B-004-2024-08,GT-B2B-004,Guatemala,2024-08-05,2024-09-04,1562077.87,2024-09-06,paid
INV-GT-B2B-004-2024-09,GT-B2B-004,Guatemala,2024-09-05,2024-10-05,1621775.01,2024-10-09,paid
INV-GT-B2B-004-2024-10,GT-B2B-004,Guatemala,2024-10-05,2024-11-04,1604880.24,2024-11-09,paid
INV-GT-B2B-004-2024-11,GT-B2B-004,Guatemala,2024-11-05,2024-12-05,1619957.56,2024-12-18,paid
INV-GT-B2B-004-2024-12,GT-B2B-004,Guatemala,2024-12-05,2025-01-04,1616004.97,2025-01-13,paid
INV-GT-B2B-004-2025-01,GT-B2B-004,Guatemala,2025-01-05,2025-02-04,1552146.44,2025-02-10,paid
INV-GT-B2B-004-2025-02,GT-B2B-004,Guatemala,2025-02-05,2025-03-07,1594044.49,2025-03-07,paid
INV-GT-B2B-004-2025-03,GT-B2B-004,Guatemala,2025-03-05,2025-04-04,1596913.86,2025-04-08,paid
INV-GT-B2B-004-2025-04,GT-B2B-004,Guatemala,2025-04-05,2025-05-05,1659391.4,2025-05-05,paid
INV-GT-B2B-004-2025-05,GT-B2B-004,Guatemala,2025-05-05,2025-06-04,1634345.42,2025-06-08,paid
INV-GT-B2B-004-2025-06,GT-B2B-004,Guatemala,2025-06-05,2025-07-05,1626732.1,2025-07-16,paid
INV-GT-B2B-004-2025-07,GT-B2B-004,Guatemala,2025-07-05,2025-08-04,1659283.38,2025-08-17,paid
INV-GT-B2B-004-2025-08,GT-B2B-004,Guatemala,2025-08-05,2025-09-04,1640547.89,2025-09-07,paid
INV-GT-B2B-004-2025-09,GT-B2B-004,Guatemala,2025-09-05,2025-10-05,1642369.61,2025-10-12,paid
INV-GT-B2B-004-2025-10,GT-B2B-004,Guatemala,2025-10-05,2025-11-04,1659714.51,2025-11-05,paid
INV-GT-B2B-004-2025-11,GT-B2B-004,Guatemala,2025-11-05,2025-12-05,1661001.64,2025-12-12,paid
INV-GT-B2B-004-2025-12,GT-B2B-004,Guatemala,2025-12-05,2026-01-04,1747973.96,2026-01-19,paid
INV-GT-B2B-004-2026-01,GT-B2B-004,Guatemala,2026-01-05,2026-02-04,1638104.72,2026-02-09,paid
INV-GT-B2B-004-2026-02,GT-B2B-004,Guatemala,2026-02-05,2026-03-07,1622280.41,2026-03-10,paid
INV-GT-B2B-004-2026-03,GT-B2B-004,Guatemala,2026-03-05,2026-04-04,1685244.47,2026-04-26,paid
INV-GT-B2B-004-2026-04,GT-B2B-004,Guatemala,2026-04-05,2026-05-05,1654524.65,2026-05-24,paid
INV-GT-B2B-004-2026-05,GT-B2B-004,Guatemala,2026-05-05,2026-06-04,1612275.48,2026-07-03,open
INV-GT-B2B-004-2026-06,GT-B2B-004,Guatemala,2026-06-05,2026-07-05,1651759.19,2026-08-05,open
INV-GT-B2B-005-2024-01,GT-B2B-005,Guatemala,2024-01-05,2024-02-19,1401905.33,2024-02-25,paid
INV-GT-B2B-005-2024-02,GT-B2B-005,Guatemala,2024-02-05,2024-03-21,1380867.31,2024-03-21,paid
INV-GT-B2B-005-2024-03,GT-B2B-005,Guatemala,2024-03-05,2024-04-19,1496229.35,2024-04-19,paid
INV-GT-B2B-005-2024-04,GT-B2B-005,Guatemala,2024-04-05,2024-05-20,1406246.93,2024-06-04,paid
INV-GT-B2B-005-2024-05,GT-B2B-005,Guatemala,2024-05-05,2024-06-19,1527234.13,2024-06-19,paid
INV-GT-B2B-005-2024-06,GT-B2B-005,Guatemala,2024-06-05,2024-07-20,1434030.34,2024-07-28,paid
INV-GT-B2B-005-2024-07,GT-B2B-005,Guatemala,2024-07-05,2024-08-19,1499189.62,2024-08-20,paid
INV-GT-B2B-005-2024-08,GT-B2B-005,Guatemala,2024-08-05,2024-09-19,1444758.36,2024-09-29,paid
INV-GT-B2B-005-2024-09,GT-B2B-005,Guatemala,2024-09-05,2024-10-20,1468203.93,2024-10-24,paid
INV-GT-B2B-005-2024-10,GT-B2B-005,Guatemala,2024-10-05,2024-11-19,1455231.42,2024-11-19,paid
INV-GT-B2B-005-2024-11,GT-B2B-005,Guatemala,2024-11-05,2024-12-20,1455827.99,2024-12-25,paid
INV-GT-B2B-005-2024-12,GT-B2B-005,Guatemala,2024-12-05,2025-01-19,1473261.36,2025-01-22,paid
INV-GT-B2B-005-2025-01,GT-B2B-005,Guatemala,2025-01-05,2025-02-19,1484032.15,2025-03-02,paid
INV-GT-B2B-005-2025-02,GT-B2B-005,Guatemala,2025-02-05,2025-03-22,1478366.12,2025-03-30,paid
INV-GT-B2B-005-2025-03,GT-B2B-005,Guatemala,2025-03-05,2025-04-19,1479033.61,2025-04-25,paid
INV-GT-B2B-005-2025-04,GT-B2B-005,Guatemala,2025-04-05,2025-05-20,1459934.42,2025-05-28,paid
INV-GT-B2B-005-2025-05,GT-B2B-005,Guatemala,2025-05-05,2025-06-19,1481972.29,2025-07-05,paid
INV-GT-B2B-005-2025-06,GT-B2B-005,Guatemala,2025-06-05,2025-07-20,1536156.53,2025-07-28,paid
INV-GT-B2B-005-2025-07,GT-B2B-005,Guatemala,2025-07-05,2025-08-19,1469691.0,2025-08-19,paid
INV-GT-B2B-005-2025-08,GT-B2B-005,Guatemala,2025-08-05,2025-09-19,1532090.37,2025-09-26,paid
INV-GT-B2B-005-2025-09,GT-B2B-005,Guatemala,2025-09-05,2025-10-20,1514234.37,2025-10-20,paid
INV-GT-B2B-005-2025-10,GT-B2B-005,Guatemala,2025-10-05,2025-11-19,1531660.94,2025-11-27,paid
INV-GT-B2B-005-2025-11,GT-B2B-005,Guatemala,2025-11-05,2025-12-20,1474165.73,2025-12-24,paid
INV-GT-B2B-005-2025-12,GT-B2B-005,Guatemala,2025-12-05,2026-01-19,1519030.14,2026-01-25,paid
INV-GT-B2B-005-2026-01,GT-B2B-005,Guatemala,2026-01-05,2026-02-19,1505991.03,2026-02-24,paid
INV-GT-B2B-005-2026-02,GT-B2B-005,Guatemala,2026-02-05,2026-03-22,1510970.16,2026-03-29,paid
INV-GT-B2B-005-2026-03,GT-B2B-005,Guatemala,2026-03-05,2026-04-19,1567870.3,2026-04-29,paid
INV-GT-B2B-005-2026-04,GT-B2B-005,Guatemala,2026-04-05,2026-05-20,1518993.94,2026-06-12,paid
INV-GT-B2B-005-2026-05,GT-B2B-005,Guatemala,2026-05-05,2026-06-19,1539106.42,2026-07-17,open
INV-GT-B2B-005-2026-06,GT-B2B-005,Guatemala,2026-06-05,2026-07-20,1480891.94,2026-08-25,open
INV-GT-B2B-006-2024-01,GT-B2B-006,Guatemala,2024-01-05,2024-03-05,1329171.7,2024-03-05,paid
INV-GT-B2B-006-2024-02,GT-B2B-006,Guatemala,2024-02-05,2024-04-05,1309679.43,2024-04-09,paid
INV-GT-B2B-006-2024-03,GT-B2B-006,Guatemala,2024-03-05,2024-05-04,1288883.36,2024-05-05,paid
INV-GT-B2B-006-2024-04,GT-B2B-006,Guatemala,2024-04-05,2024-06-04,1285066.51,2024-06-17,paid
INV-GT-B2B-006-2024-05,GT-B2B-006,Guatemala,2024-05-05,2024-07-04,1312127.13,2024-07-19,paid
INV-GT-B2B-006-2024-06,GT-B2B-006,Guatemala,2024-06-05,2024-08-04,1331147.83,2024-08-12,paid
INV-GT-B2B-006-2024-07,GT-B2B-006,Guatemala,2024-07-05,2024-09-03,1349681.89,2024-09-11,paid
INV-GT-B2B-006-2024-08,GT-B2B-006,Guatemala,2024-08-05,2024-10-04,1328495.21,2024-10-09,paid
INV-GT-B2B-006-2024-09,GT-B2B-006,Guatemala,2024-09-05,2024-11-04,1311688.08,2024-11-07,paid
INV-GT-B2B-006-2024-10,GT-B2B-006,Guatemala,2024-10-05,2024-12-04,1339468.05,2024-12-04,paid
INV-GT-B2B-006-2024-11,GT-B2B-006,Guatemala,2024-11-05,2025-01-04,1337262.71,2025-01-09,paid
INV-GT-B2B-006-2024-12,GT-B2B-006,Guatemala,2024-12-05,2025-02-03,1351073.66,2025-02-13,paid
INV-GT-B2B-006-2025-01,GT-B2B-006,Guatemala,2025-01-05,2025-03-06,1372157.67,2025-03-16,paid
INV-GT-B2B-006-2025-02,GT-B2B-006,Guatemala,2025-02-05,2025-04-06,1285345.55,2025-04-12,paid
INV-GT-B2B-006-2025-03,GT-B2B-006,Guatemala,2025-03-05,2025-05-04,1298909.59,2025-05-07,paid
INV-GT-B2B-006-2025-04,GT-B2B-006,Guatemala,2025-04-05,2025-06-04,1373945.78,2025-06-13,paid
INV-GT-B2B-006-2025-05,GT-B2B-006,Guatemala,2025-05-05,2025-07-04,1317822.08,2025-07-05,paid
INV-GT-B2B-006-2025-06,GT-B2B-006,Guatemala,2025-06-05,2025-08-04,1340592.34,2025-08-04,paid
INV-GT-B2B-006-2025-07,GT-B2B-006,Guatemala,2025-07-05,2025-09-03,1325155.75,2025-09-11,paid
INV-GT-B2B-006-2025-08,GT-B2B-006,Guatemala,2025-08-05,2025-10-04,1377893.55,2025-10-13,paid
INV-GT-B2B-006-2025-09,GT-B2B-006,Guatemala,2025-09-05,2025-11-04,1289327.51,2025-11-12,paid
INV-GT-B2B-006-2025-10,GT-B2B-006,Guatemala,2025-10-05,2025-12-04,1355112.01,2025-12-12,paid
INV-GT-B2B-006-2025-11,GT-B2B-006,Guatemala,2025-11-05,2026-01-04,1401109.63,2026-01-04,paid
INV-GT-B2B-006-2025-12,GT-B2B-006,Guatemala,2025-12-05,2026-02-03,1343952.82,2026-02-12,paid
INV-GT-B2B-006-2026-01,GT-B2B-006,Guatemala,2026-01-05,2026-03-06,1320885.3,2026-03-19,paid
INV-GT-B2B-006-2026-02,GT-B2B-006,Guatemala,2026-02-05,2026-04-06,1376849.74,2026-04-16,paid
INV-GT-B2B-006-2026-03,GT-B2B-006,Guatemala,2026-03-05,2026-05-04,1354603.74,2026-05-24,paid
INV-GT-B2B-006-2026-04,GT-B2B-006,Guatemala,2026-04-05,2026-06-04,1403254.46,2026-06-27,paid
INV-GT-B2B-006-2026-05,GT-B2B-006,Guatemala,2026-05-05,2026-07-04,1383490.46,2026-08-04,open
INV-GT-B2B-006-2026-06,GT-B2B-006,Guatemala,2026-06-05,2026-08-04,1356830.65,2026-09-06,open
INV-GT-B2B-007-2024-01,GT-B2B-007,Guatemala,2024-01-05,2024-02-04,1137889.77,2024-02-12,paid
INV-GT-B2B-007-2024-02,GT-B2B-007,Guatemala,2024-02-05,2024-03-06,1167330.23,2024-03-07,paid
INV-GT-B2B-007-2024-03,GT-B2B-007,Guatemala,2024-03-05,2024-04-04,1144215.79,2024-04-17,paid
INV-GT-B2B-007-2024-04,GT-B2B-007,Guatemala,2024-04-05,2024-05-05,1132972.6,2024-05-07,paid
INV-GT-B2B-007-2024-05,GT-B2B-007,Guatemala,2024-05-05,2024-06-04,1157496.6,2024-06-14,paid
INV-GT-B2B-007-2024-06,GT-B2B-007,Guatemala,2024-06-05,2024-07-05,1155968.87,2024-07-18,paid
INV-GT-B2B-007-2024-07,GT-B2B-007,Guatemala,2024-07-05,2024-08-04,1178618.61,2024-08-14,paid
INV-GT-B2B-007-2024-08,GT-B2B-007,Guatemala,2024-08-05,2024-09-04,1174434.1,2024-09-22,paid
INV-GT-B2B-007-2024-09,GT-B2B-007,Guatemala,2024-09-05,2024-10-05,1159626.22,2024-10-05,paid
INV-GT-B2B-007-2024-10,GT-B2B-007,Guatemala,2024-10-05,2024-11-04,1205365.61,2024-11-08,paid
INV-GT-B2B-007-2024-11,GT-B2B-007,Guatemala,2024-11-05,2024-12-05,1172751.07,2024-12-18,paid
INV-GT-B2B-007-2024-12,GT-B2B-007,Guatemala,2024-12-05,2025-01-04,1136151.2,2025-01-04,paid
INV-GT-B2B-007-2025-01,GT-B2B-007,Guatemala,2025-01-05,2025-02-04,1139013.94,2025-02-06,paid
INV-GT-B2B-007-2025-02,GT-B2B-007,Guatemala,2025-02-05,2025-03-07,1189434.63,2025-03-16,paid
INV-GT-B2B-007-2025-03,GT-B2B-007,Guatemala,2025-03-05,2025-04-04,1188518.68,2025-04-04,paid
INV-GT-B2B-007-2025-04,GT-B2B-007,Guatemala,2025-04-05,2025-05-05,1131424.05,2025-05-11,paid
INV-GT-B2B-007-2025-05,GT-B2B-007,Guatemala,2025-05-05,2025-06-04,1176731.27,2025-06-12,paid
INV-GT-B2B-007-2025-06,GT-B2B-007,Guatemala,2025-06-05,2025-07-05,1207693.04,2025-07-12,paid
INV-GT-B2B-007-2025-07,GT-B2B-007,Guatemala,2025-07-05,2025-08-04,1212121.86,2025-08-11,paid
INV-GT-B2B-007-2025-08,GT-B2B-007,Guatemala,2025-08-05,2025-09-04,1209573.65,2025-09-06,paid
INV-GT-B2B-007-2025-09,GT-B2B-007,Guatemala,2025-09-05,2025-10-05,1195508.12,2025-10-12,paid
INV-GT-B2B-007-2025-10,GT-B2B-007,Guatemala,2025-10-05,2025-11-04,1222711.55,2025-11-08,paid
INV-GT-B2B-007-2025-11,GT-B2B-007,Guatemala,2025-11-05,2025-12-05,1218451.31,2025-12-10,paid
INV-GT-B2B-007-2025-12,GT-B2B-007,Guatemala,2025-12-05,2026-01-04,1205993.04,2026-01-14,paid
INV-GT-B2B-007-2026-01,GT-B2B-007,Guatemala,2026-01-05,2026-02-04,1164497.7,2026-02-04,paid
INV-GT-B2B-007-2026-02,GT-B2B-007,Guatemala,2026-02-05,2026-03-07,1179398.09,2026-03-07,paid
INV-GT-B2B-007-2026-03,GT-B2B-007,Guatemala,2026-03-05,2026-04-04,1201510.5,2026-04-24,paid
INV-GT-B2B-007-2026-04,GT-B2B-007,Guatemala,2026-04-05,2026-05-05,1214028.3,2026-05-28,paid
INV-GT-B2B-007-2026-05,GT-B2B-007,Guatemala,2026-05-05,2026-06-04,1250974.59,2026-07-11,open
INV-GT-B2B-007-2026-06,GT-B2B-007,Guatemala,2026-06-05,2026-07-05,1225382.07,2026-08-15,open
INV-GT-B2B-008-2024-01,GT-B2B-008,Guatemala,2024-01-05,2024-02-19,1000537.21,2024-02-21,paid
INV-GT-B2B-008-2024-02,GT-B2B-008,Guatemala,2024-02-05,2024-03-21,989360.41,2024-03-21,paid
INV-GT-B2B-008-2024-03,GT-B2B-008,Guatemala,2024-03-05,2024-04-19,986024.19,2024-04-23,paid
INV-GT-B2B-008-2024-04,GT-B2B-008,Guatemala,2024-04-05,2024-05-20,1022506.4,2024-06-04,paid
INV-GT-B2B-008-2024-05,GT-B2B-008,Guatemala,2024-05-05,2024-06-19,981217.06,2024-06-27,paid
INV-GT-B2B-008-2024-06,GT-B2B-008,Guatemala,2024-06-05,2024-07-20,990414.29,2024-07-28,paid
INV-GT-B2B-008-2024-07,GT-B2B-008,Guatemala,2024-07-05,2024-08-19,1011115.4,2024-08-19,paid
INV-GT-B2B-008-2024-08,GT-B2B-008,Guatemala,2024-08-05,2024-09-19,1035349.06,2024-09-22,paid
INV-GT-B2B-008-2024-09,GT-B2B-008,Guatemala,2024-09-05,2024-10-20,1008023.58,2024-10-21,paid
INV-GT-B2B-008-2024-10,GT-B2B-008,Guatemala,2024-10-05,2024-11-19,1008113.52,2024-11-27,paid
INV-GT-B2B-008-2024-11,GT-B2B-008,Guatemala,2024-11-05,2024-12-20,1020077.34,2024-12-28,paid
INV-GT-B2B-008-2024-12,GT-B2B-008,Guatemala,2024-12-05,2025-01-19,1033962.64,2025-02-01,paid
INV-GT-B2B-008-2025-01,GT-B2B-008,Guatemala,2025-01-05,2025-02-19,1022040.75,2025-02-19,paid
INV-GT-B2B-008-2025-02,GT-B2B-008,Guatemala,2025-02-05,2025-03-22,1053900.9,2025-03-26,paid
INV-GT-B2B-008-2025-03,GT-B2B-008,Guatemala,2025-03-05,2025-04-19,1057537.09,2025-04-27,paid
