month,country,segment,revenue_type,revenue_usd
2025-04,Guatemala,Mobile_Prepaid,service,38099457.7
2025-04,Guatemala,Mobile_Postpaid,service,20668010.97
2025-04,Guatemala,Home,service,31625028.45
2025-04,Guatemala,B2B,service,16387900.99
2025-04,Guatemala,Tigo_Money,service,4612790.54
2025-04,Guatemala,Equipment,equipment,5819276.11
2025-05,Guatemala,Mobile_Prepaid,service,37018419.79
2025-05,Guatemala,Mobile_Postpaid,service,21123560.32
2025-05,Guatemala,Home,service,31524244.73
2025-05,Guatemala,B2B,service,16229520.74
2025-05,Guatemala,Tigo_Money,service,4637584.52
2025-05,Guatemala,Equipment,equipment,5755262.28
2025-06,Guatemala,Mobile_Prepaid,service,37514399.35
2025-06,Guatemala,Mobile_Postpaid,service,20730266.48
2025-06,Guatemala,Home,service,31713494.59
2025-06,Guatemala,B2B,service,16399717.27
2025-06,Guatemala,Tigo_Money,service,4823924.6
2025-06,Guatemala,Equipment,equipment,5938256.68
2025-07,Guatemala,Mobile_Prepaid,service,37812079.17
2025-07,Guatemala,Mobile_Postpaid,service,21065086.45
2025-07,Guatemala,Home,service,30902724.87
2025-07,Guatemala,B2B,service,16369720.58
2025-07,Guatemala,Tigo_Money,service,4612174.57
2025-07,Guatemala,Equipment,equipment,5948291.02
2025-08,Guatemala,Mobile_Prepaid,service,37226774.2
2025-08,Guatemala,Mobile_Postpaid,service,20962814.75
2025-08,Guatemala,Home,service,31646212.38
2025-08,Guatemala,B2B,service,16491543.55
2025-08,Guatemala,Tigo_Money,service,4638166.86
2025-08,Guatemala,Equipment,equipment,5786259.74
2025-09,Guatemala,Mobile_Prepaid,service,37652392.69
2025-09,Guatemala,Mobile_Postpaid,service,20966788.67
2025-09,Guatemala,Home,service,31507037.46
2025-09,Guatemala,B2B,service,16371256.39
2025-09,Guatemala,Tigo_Money,service,4665459.64
2025-09,Guatemala,Equipment,equipment,5923766.76
2025-10,Guatemala,Mobile_Prepaid,service,37664332.68
2025-10,Guatemala,Mobile_Postpaid,service,21199806.7
2025-10,Guatemala,Home,service,32097026.27
2025-10,Guatemala,B2B,service,16611085.54
2025-10,Guatemala,Tigo_Money,service,4713133.89
2025-10,Guatemala,Equipment,equipment,5881795.29
2025-11,Guatemala,Mobile_Prepaid,service,38078177.79
2025-11,Guatemala,Mobile_Postpaid,service,21469861.94
2025-11,Guatemala,Home,service,31891261.36
2025-11,Guatemala,B2B,service,16608880.4
2025-11,Guatemala,Tigo_Money,service,4737557.48
2025-11,Guatemala,Equipment,equipment,5860977.97
2025-12,Guatemala,Mobile_Prepaid,service,37568451.27
2025-12,Guatemala,Mobile_Postpaid,service,21549625.92
2025-12,Guatemala,Home,service,32198926.09
2025-12,Guatemala,B2B,service,18102099.06
2025-12,Guatemala,Tigo_Money,service,4770804.13
2025-12,Guatemala,Equipment,equipment,5951034.65
2026-01,Guatemala,Mobile_Prepaid,service,38074476.6
2026-01,Guatemala,Mobile_Postpaid,service,21584652.09
2026-01,Guatemala,Home,service,32469850.48
2026-01,Guatemala,B2B,service,17986412.55
2026-01,Guatemala,Tigo_Money,service,4808969.92
2026-01,Guatemala,Equipment,equipment,5938653.28
2026-02,Guatemala,Mobile_Prepaid,service,38788759.69
2026-02,Guatemala,Mobile_Postpaid,service,21517444.46
2026-02,Guatemala,Home,service,32432988.57
2026-02,Guatemala,B2B,service,18006089.93
2026-02,Guatemala,Tigo_Money,service,4784732.44
2026-02,Guatemala,Equipment,equipment,5978398.26
2026-03,Guatemala,Mobile_Prepaid,service,37907707.27
2026-03,Guatemala,Mobile_Postpaid,service,21693995.96
2026-03,Guatemala,Home,service,33389048.91
2026-03,Guatemala,B2B,service,16656714.99
2026-03,Guatemala,Tigo_Money,service,4759032.5
2026-03,Guatemala,Equipment,equipment,5980698.81
2026-04,Guatemala,Mobile_Prepaid,service,38134748.11
2026-04,Guatemala,Mobile_Postpaid,service,21440035.02
2026-04,Guatemala,Home,service,32954067.91
2026-04,Guatemala,B2B,service,16663233.16
2026-04,Guatemala,Tigo_Money,service,4753889.66
2026-04,Guatemala,Equipment,equipment,5956561.57
2026-05,Guatemala,Mobile_Prepaid,service,37710075.74
2026-05,Guatemala,Mobile_Postpaid,service,21424213.37
2026-05,Guatemala,Home,service,31771745.81
2026-05,Guatemala,B2B,service,16812517.33
2026-05,Guatemala,Tigo_Money,service,4840980.82
2026-05,Guatemala,Equipment,equipment,6210712.41
2026-06,Guatemala,Mobile_Prepaid,service,38362252.5
2026-06,Guatemala,Mobile_Postpaid,service,21244730.19
2026-06,Guatemala,Home,service,32863909.27
2026-06,Guatemala,B2B,service,16733291.95
2026-06,Guatemala,Tigo_Money,service,4774596.52
2026-06,Guatemala,Equipment,equipment,6115143.81
2024-01,Colombia,Mobile_Prepaid,service,33805396.93
2024-01,Colombia,Mobile_Postpaid,service,18935886.49
2024-01,Colombia,Home,service,28558947.47
2024-01,Colombia,B2B,service,15066321.48
2024-01,Colombia,Tigo_Money,service,4278731.51
2024-01,Colombia,Equipment,equipment,5285555.77
2024-02,Colombia,Mobile_Prepaid,service,33802710.61
2024-02,Colombia,Mobile_Postpaid,service,19082116.11
2024-02,Colombia,Home,service,28256976.76
2024-02,Colombia,B2B,service,14951759.62
2024-02,Colombia,Tigo_Money,service,4270899.79
2024-02,Colombia,Equipment,equipment,5200542.68
2024-03,Colombia,Mobile_Prepaid,service,33908615.07
2024-03,Colombia,Mobile_Postpaid,service,19351057.11
2024-03,Colombia,Home,service,28868069.25
2024-03,Colombia,B2B,service,14806768.41
2024-03,Colombia,Tigo_Money,service,4291519.54
2024-03,Colombia,Equipment,equipment,5322377.13
2024-04,Colombia,Mobile_Prepaid,service,34658132.62
2024-04,Colombia,Mobile_Postpaid,service,19437956.92
2024-04,Colombia,Home,service,28989975.76
2024-04,Colombia,B2B,service,15043506.04
2024-04,Colombia,Tigo_Money,service,4319693.54
2024-04,Colombia,Equipment,equipment,5388152.4
2024-05,Colombia,Mobile_Prepaid,service,34080274.94
2024-05,Colombia,Mobile_Postpaid,service,18963221.64
2024-05,Colombia,Home,service,29053461.72
2024-05,Colombia,B2B,service,15085462.17
2024-05,Colombia,Tigo_Money,service,4310715.33
2024-05,Colombia,Equipment,equipment,5423709.58
2024-06,Colombia,Mobile_Prepaid,service,33962377.12
2024-06,Colombia,Mobile_Postpaid,service,19110690.57
2024-06,Colombia,Home,service,29139917.75
2024-06,Colombia,B2B,service,14974847.31
2024-06,Colombia,Tigo_Money,service,4289600.76
2024-06,Colombia,Equipment,equipment,5246504.69
2024-07,Colombia,Mobile_Prepaid,service,34587328.62
2024-07,Colombia,Mobile_Postpaid,service,18942212.03
2024-07,Colombia,Home,service,28724315.0
2024-07,Colombia,B2B,service,15174188.06
2024-07,Colombia,Tigo_Money,service,4374379.7
2024-07,Colombia,Equipment,equipment,5499112.14
2024-08,Colombia,Mobile_Prepaid,service,34018180.28
2024-08,Colombia,Mobile_Postpaid,service,19339818.96
2024-08,Colombia,Home,service,29139522.25
2024-08,Colombia,B2B,service,15037356.95
2024-08,Colombia,Tigo_Money,service,4407978.32
2024-08,Colombia,Equipment,equipment,5361643.52
2024-09,Colombia,Mobile_Prepaid,service,34406904.08
2024-09,Colombia,Mobile_Postpaid,service,19830088.68
2024-09,Colombia,Home,service,29066413.89
2024-09,Colombia,B2B,service,15299015.58
2024-09,Colombia,Tigo_Money,service,4363195.63
2024-09,Colombia,Equipment,equipment,5311934.85
2024-10,Colombia,Mobile_Prepaid,service,34619667.3
2024-10,Colombia,Mobile_Postpaid,service,19128845.39
2024-10,Colombia,Home,service,28902048.95
2024-10,Colombia,B2B,service,15089407.94
2024-10,Colombia,Tigo_Money,service,4380249.15
2024-10,Colombia,Equipment,equipment,5417204.34
2024-11,Colombia,Mobile_Prepaid,service,34644685.73
2024-11,Colombia,Mobile_Postpaid,service,19387421.36
2024-11,Colombia,Home,service,29266007.92
2024-11,Colombia,B2B,service,15147634.62
2024-11,Colombia,Tigo_Money,service,4362936.89
2024-11,Colombia,Equipment,equipment,5498474.1
2024-12,Colombia,Mobile_Prepaid,service,33783372.14
2024-12,Colombia,Mobile_Postpaid,service,19416538.72
2024-12,Colombia,Home,service,29473177.46
2024-12,Colombia,B2B,service,15241425.5
2024-12,Colombia,Tigo_Money,service,4352901.32
2024-12,Colombia,Equipment,equipment,5474018.65
2025-01,Colombia,Mobile_Prepaid,service,35064101.46
2025-01,Colombia,Mobile_Postpaid,service,19588542.21
2025-01,Colombia,Home,service,29304646.83
2025-01,Colombia,B2B,service,15146697.69
2025-01,Colombia,Tigo_Money,service,4356111.55
2025-01,Colombia,Equipment,equipment,5537008.05
2025-02,Colombia,Mobile_Prepaid,service,34732649.71
2025-02,Colombia,Mobile_Postpaid,service,19694638.24
2025-02,Colombia,Home,service,29629347.01
2025-02,Colombia,B2B,service,15168193.47
2025-02,Colombia,Tigo_Money,service,4462668.58
2025-02,Colombia,Equipment,equipment,5455163.35
2025-03,Colombia,Mobile_Prepaid,service,35533176.65
2025-03,Colombia,Mobile_Postpaid,service,20053039.57
2025-03,Colombia,Home,service,29615475.5
2025-03,Colombia,B2B,service,15308264.4
2025-03,Colombia,Tigo_Money,service,4379747.02
2025-03,Colombia,Equipment,equipment,5466915.15
2025-04,Colombia,Mobile_Prepaid,service,35106564.52
2025-04,Colombia,Mobile_Postpaid,service,20012253.23
2025-04,Colombia,Home,service,29794717.03
2025-04,Colombia,B2B,service,15407578.67
2025-04,Colombia,Tigo_Money,service,4414258.85
2025-04,Colombia,Equipment,equipment,5428470.08
2025-05,Colombia,Mobile_Prepaid,service,34895050.97
2025-05,Colombia,Mobile_Postpaid,service,20375070.33
2025-05,Colombia,Home,service,29723023.53
2025-05,Colombia,B2B,service,15532916.92
2025-05,Colombia,Tigo_Money,service,4371980.41
2025-05,Colombia,Equipment,equipment,5611567.51
2025-06,Colombia,Mobile_Prepaid,service,35510679.31
2025-06,Colombia,Mobile_Postpaid,service,20045916.93
2025-06,Colombia,Home,service,29811558.06
2025-06,Colombia,B2B,service,15406645.69
2025-06,Colombia,Tigo_Money,service,4406964.61
2025-06,Colombia,Equipment,equipment,5518569.88
2025-07,Colombia,Mobile_Prepaid,service,34895427.26
2025-07,Colombia,Mobile_Postpaid,service,19936044.62
2025-07,Colombia,Home,service,30042168.6
2025-07,Colombia,B2B,service,15551200.08
2025-07,Colombia,Tigo_Money,service,4534490.24
2025-07,Colombia,Equipment,equipment,5549360.26
2025-08,Colombia,Mobile_Prepaid,service,34585530.82
2025-08,Colombia,Mobile_Postpaid,service,19984431.88
2025-08,Colombia,Home,service,31013436.54
2025-08,Colombia,B2B,service,15626482.07
2025-08,Colombia,Tigo_Money,service,4492459.78
2025-08,Colombia,Equipment,equipment,5503679.55
2025-09,Colombia,Mobile_Prepaid,service,35910714.07
2025-09,Colombia,Mobile_Postpaid,service,19879202.98
2025-09,Colombia,Home,service,29600690.47
2025-09,Colombia,B2B,service,15643198.83
2025-09,Colombia,Tigo_Money,service,4438517.57
2025-09,Colombia,Equipment,equipment,5577511.68
2025-10,Colombia,Mobile_Prepaid,service,34951920.92
2025-10,Colombia,Mobile_Postpaid,service,19831770.82
2025-10,Colombia,Home,service,30164456.23
2025-10,Colombia,B2B,service,15563676.57
2025-10,Colombia,Tigo_Money,service,4446421.77
2025-10,Colombia,Equipment,equipment,5611842.18
2025-11,Colombia,Mobile_Prepaid,service,35316848.88
2025-11,Colombia,Mobile_Postpaid,service,20330889.82
2025-11,Colombia,Home,service,29809645.91
2025-11,Colombia,B2B,service,15638680.28
2025-11,Colombia,Tigo_Money,service,4568602.89
2025-11,Colombia,Equipment,equipment,5485175.48
2025-12,Colombia,Mobile_Prepaid,service,35457060.62
2025-12,Colombia,Mobile_Postpaid,service,20309268.54
2025-12,Colombia,Home,service,30923141.45
2025-12,Colombia,B2B,service,15819039.09
2025-12,Colombia,Tigo_Money,service,4507632.32
2025-12,Colombia,Equipment,equipment,5651321.21
2026-01,Colombia,Mobile_Prepaid,service,36022378.79
2026-01,Colombia,Mobile_Postpaid,service,20010337.39
2026-01,Colombia,Home,service,30209282.32
2026-01,Colombia,B2B,service,15668205.26
2026-01,Colombia,Tigo_Money,service,4436853.6
2026-01,Colombia,Equipment,equipment,5541623.04
2026-02,Colombia,Mobile_Prepaid,service,36279317.13
2026-02,Colombia,Mobile_Postpaid,service,20037079.56
2026-02,Colombia,Home,service,30580496.22
2026-02,Colombia,B2B,service,15580713.18
2026-02,Colombia,Tigo_Money,service,4443149.19
2026-02,Colombia,Equipment,equipment,5661480.45
2026-03,Colombia,Mobile_Prepaid,service,35983464.2
2026-03,Colombia,Mobile_Postpaid,service,20706319.38
2026-03,Colombia,Home,service,30658479.69
2026-03,Colombia,B2B,service,15744097.42
2026-03,Colombia,Tigo_Money,service,4591981.13
2026-03,Colombia,Equipment,equipment,5604433.3
2026-04,Colombia,Mobile_Prepaid,service,36310040.34
2026-04,Colombia,Mobile_Postpaid,service,20171755.54
2026-04,Colombia,Home,service,30464384.4
2026-04,Colombia,B2B,service,15768558.31
2026-04,Colombia,Tigo_Money,service,4521454.73
2026-04,Colombia,Equipment,equipment,5620453.12
2026-05,Colombia,Mobile_Prepaid,service,35849564.61
2026-05,Colombia,Mobile_Postpaid,service,20117520.53
2026-05,Colombia,Home,service,29842735.47
2026-05,Colombia,B2B,service,15910086.27
2026-05,Colombia,Tigo_Money,service,4489762.29
2026-05,Colombia,Equipment,equipment,5726756.95
2026-06,Colombia,Mobile_Prepaid,service,35774392.86
2026-06,Colombia,Mobile_Postpaid,service,20178803.42
2026-06,Colombia,Home,service,31437645.71
2026-06,Colombia,B2B,service,15998295.63
2026-06,Colombia,Tigo_Money,service,4523720.81
2026-06,Colombia,Equipment,equipment,5720000.53
2024-01,Panama,Mobile_Prepaid,service,18058657.57
2024-01,Panama,Mobile_Postpaid,service,10160458.57
2024-01,Panama,Home,service,14846298.87
2024-01,Panama,B2B,service,7787442.66
2024-01,Panama,Tigo_Money,service,2233797.72
2024-01,Panama,Equipment,equipment,2746152.08
2024-02,Panama,Mobile_Prepaid,service,18499988.34
2024-02,Panama,Mobile_Postpaid,service,9913640.53
2024-02,Panama,Home,service,14968397.85
2024-02,Panama,B2B,service,7874458.43
2024-02,Panama,Tigo_Money,service,2217733.07
2024-02,Panama,Equipment,equipment,2757036.5
2024-03,Panama,Mobile_Prepaid,service,18304415.13
2024-03,Panama,Mobile_Postpaid,service,10429271.27
2024-03,Panama,Home,service,15109189.6
2024-03,Panama,B2B,service,7853585.23
2024-03,Panama,Tigo_Money,service,2215824.45
2024-03,Panama,Equipment,equipment,2739485.34
2024-04,Panama,Mobile_Prepaid,service,18001925.84
2024-04,Panama,Mobile_Postpaid,service,10117306.96
2024-04,Panama,Home,service,15115088.11
2024-04,Panama,B2B,service,7910829.97
2024-04,Panama,Tigo_Money,service,2262845.31
2024-04,Panama,Equipment,equipment,2834461.96
2024-05,Panama,Mobile_Prepaid,service,18170182.52
2024-05,Panama,Mobile_Postpaid,service,10142629.51
2024-05,Panama,Home,service,15071211.93
2024-05,Panama,B2B,service,7909333.77
2024-05,Panama,Tigo_Money,service,2280633.79
2024-05,Panama,Equipment,equipment,2828529.89
2024-06,Panama,Mobile_Prepaid,service,18339589.78
2024-06,Panama,Mobile_Postpaid,service,10303859.88
2024-06,Panama,Home,service,15050957.75
2024-06,Panama,B2B,service,7870252.34
2024-06,Panama,Tigo_Money,service,2229438.14
2024-06,Panama,Equipment,equipment,2809586.53
2024-07,Panama,Mobile_Prepaid,service,17961372.93
2024-07,Panama,Mobile_Postpaid,service,10325303.83
2024-07,Panama,Home,service,15413062.56
2024-07,Panama,B2B,service,7893009.64
2024-07,Panama,Tigo_Money,service,2304001.41
2024-07,Panama,Equipment,equipment,2855818.64
2024-08,Panama,Mobile_Prepaid,service,18281678.14
2024-08,Panama,Mobile_Postpaid,service,10406474.72
2024-08,Panama,Home,service,15473567.73
2024-08,Panama,B2B,service,7941549.36
2024-08,Panama,Tigo_Money,service,2281358.82
2024-08,Panama,Equipment,equipment,2900441.64
2024-09,Panama,Mobile_Prepaid,service,18306837.42
2024-09,Panama,Mobile_Postpaid,service,10245885.57
2024-09,Panama,Home,service,15270754.57
2024-09,Panama,B2B,service,8066567.76
2024-09,Panama,Tigo_Money,service,2304554.11
2024-09,Panama,Equipment,equipment,2899212.26
2024-10,Panama,Mobile_Prepaid,service,18316133.45
2024-10,Panama,Mobile_Postpaid,service,10472158.58
2024-10,Panama,Home,service,15102346.24
2024-10,Panama,B2B,service,7934151.13
2024-10,Panama,Tigo_Money,service,2289383.0
2024-10,Panama,Equipment,equipment,2862256.21
2024-11,Panama,Mobile_Prepaid,service,18213485.42
2024-11,Panama,Mobile_Postpaid,service,10634765.48
2024-11,Panama,Home,service,15489972.22
2024-11,Panama,B2B,service,7930760.35
2024-11,Panama,Tigo_Money,service,2285424.76
2024-11,Panama,Equipment,equipment,2871687.29
2024-12,Panama,Mobile_Prepaid,service,17981605.61
2024-12,Panama,Mobile_Postpaid,service,10266647.45
2024-12,Panama,Home,service,15725489.53
2024-12,Panama,B2B,service,8008020.08
2024-12,Panama,Tigo_Money,service,2285064.39
2024-12,Panama,Equipment,equipment,2849485.92
2025-01,Panama,Mobile_Prepaid,service,18757511.35
2025-01,Panama,Mobile_Postpaid,service,10554991.52
2025-01,Panama,Home,service,15676845.56
2025-01,Panama,B2B,service,7984813.47
2025-01,Panama,Tigo_Money,service,2295560.45
2025-01,Panama,Equipment,equipment,2876885.62
2025-02,Panama,Mobile_Prepaid,service,18333446.16
2025-02,Panama,Mobile_Postpaid,service,10289000.66
2025-02,Panama,Home,service,15424309.68
2025-02,Panama,B2B,service,8070262.9
2025-02,Panama,Tigo_Money,service,2296804.15
2025-02,Panama,Equipment,equipment,2856685.99
2025-03,Panama,Mobile_Prepaid,service,18212519.99
2025-03,Panama,Mobile_Postpaid,service,10466109.99
2025-03,Panama,Home,service,15702027.44
2025-03,Panama,B2B,service,8132072.64
2025-03,Panama,Tigo_Money,service,2367516.94
2025-03,Panama,Equipment,equipment,2876446.5
2025-04,Panama,Mobile_Prepaid,service,18670109.41
2025-04,Panama,Mobile_Postpaid,service,10504030.25
2025-04,Panama,Home,service,15649289.6
2025-04,Panama,B2B,service,8123495.32
2025-04,Panama,Tigo_Money,service,2346350.33
2025-04,Panama,Equipment,equipment,2934025.5
2025-05,Panama,Mobile_Prepaid,service,18723818.39
2025-05,Panama,Mobile_Postpaid,service,10458715.7
2025-05,Panama,Home,service,15668903.71
2025-05,Panama,B2B,service,8083441.23
2025-05,Panama,Tigo_Money,service,2293348.33
2025-05,Panama,Equipment,equipment,2886078.0
2025-06,Panama,Mobile_Prepaid,service,18557987.34
2025-06,Panama,Mobile_Postpaid,service,10376177.62
2025-06,Panama,Home,service,15859115.12
2025-06,Panama,B2B,service,8202753.03
2025-06,Panama,Tigo_Money,service,2370930.19
2025-06,Panama,Equipment,equipment,2889748.95
2025-07,Panama,Mobile_Prepaid,service,18807628.3
2025-07,Panama,Mobile_Postpaid,service,10413341.0
2025-07,Panama,Home,service,15757290.52
2025-07,Panama,B2B,service,8136476.6
2025-07,Panama,Tigo_Money,service,2323641.94
2025-07,Panama,Equipment,equipment,2949943.47
2025-08,Panama,Mobile_Prepaid,service,18638189.47
2025-08,Panama,Mobile_Postpaid,service,10698824.88
2025-08,Panama,Home,service,15807909.96
2025-08,Panama,B2B,service,8245053.1
2025-08,Panama,Tigo_Money,service,2330589.75
2025-08,Panama,Equipment,equipment,2892208.73
2025-09,Panama,Mobile_Prepaid,service,18894926.85
2025-09,Panama,Mobile_Postpaid,service,10710595.52
2025-09,Panama,Home,service,15946443.56
2025-09,Panama,B2B,service,8272086.89
2025-09,Panama,Tigo_Money,service,2418819.11
2025-09,Panama,Equipment,equipment,2994311.94
2025-10,Panama,Mobile_Prepaid,service,18815134.24
2025-10,Panama,Mobile_Postpaid,service,10582179.61
2025-10,Panama,Home,service,16024025.91
2025-10,Panama,B2B,service,8221462.97
2025-10,Panama,Tigo_Money,service,2336967.43
2025-10,Panama,Equipment,equipment,2992321.06
2025-11,Panama,Mobile_Prepaid,service,19014236.31
2025-11,Panama,Mobile_Postpaid,service,10682021.92
2025-11,Panama,Home,service,16106021.03
2025-11,Panama,B2B,service,8307243.79
2025-11,Panama,Tigo_Money,service,2415922.47
2025-11,Panama,Equipment,equipment,2964185.37
2025-12,Panama,Mobile_Prepaid,service,18953510.55
2025-12,Panama,Mobile_Postpaid,service,10870863.56
2025-12,Panama,Home,service,16200744.86
2025-12,Panama,B2B,service,8282699.14
2025-12,Panama,Tigo_Money,service,2363284.41
2025-12,Panama,Equipment,equipment,2965690.53
2026-01,Panama,Mobile_Prepaid,service,19071347.99
2026-01,Panama,Mobile_Postpaid,service,10749079.71
2026-01,Panama,Home,service,15794539.79
2026-01,Panama,B2B,service,8300362.76
2026-01,Panama,Tigo_Money,service,2334718.15
2026-01,Panama,Equipment,equipment,2941430.01
2026-02,Panama,Mobile_Prepaid,service,18854706.25
2026-02,Panama,Mobile_Postpaid,service,10646693.55
2026-02,Panama,Home,service,16216948.57
2026-02,Panama,B2B,service,8290957.95
2026-02,Panama,Tigo_Money,service,2379453.22
2026-02,Panama,Equipment,equipment,2987384.21
2026-03,Panama,Mobile_Prepaid,service,18843059.54
2026-03,Panama,Mobile_Postpaid,service,10696669.61
2026-03,Panama,Home,service,16248235.98
2026-03,Panama,B2B,service,8386971.31
2026-03,Panama,Tigo_Money,service,2407368.35
2026-03,Panama,Equipment,equipment,2961936.91
2026-04,Panama,Mobile_Prepaid,service,19206967.84
2026-04,Panama,Mobile_Postpaid,service,11071289.24
2026-04,Panama,Home,service,16171055.73
2026-04,Panama,B2B,service,8324000.17
2026-04,Panama,Tigo_Money,service,2376368.28
2026-04,Panama,Equipment,equipment,2989033.33
2026-05,Panama,Mobile_Prepaid,service,19238936.7
2026-05,Panama,Mobile_Postpaid,service,10790346.45
2026-05,Panama,Home,service,16208807.38
2026-05,Panama,B2B,service,8323588.11
2026-05,Panama,Tigo_Money,service,2360957.25
2026-05,Panama,Equipment,equipment,2968273.58
2026-06,Panama,Mobile_Prepaid,service,19231218.28
2026-06,Panama,Mobile_Postpaid,service,10815492.24
2026-06,Panama,Home,service,16145374.91
2026-06,Panama,B2B,service,8379824.31
2026-06,Panama,Tigo_Money,service,2403103.98
2026-06,Panama,Equipment,equipment,3012472.35
2024-01,Bolivia,Mobile_Prepaid,service,13907646.46
2024-01,Bolivia,Mobile_Postpaid,service,7730790.7
2024-01,Bolivia,Home,service,11665736.42
2024-01,Bolivia,B2B,service,6033832.45
2024-01,Bolivia,Tigo_Money,service,1708857.62
2024-01,Bolivia,Equipment,equipment,2164810.85
2024-02,Bolivia,Mobile_Prepaid,service,13856736.11
2024-02,Bolivia,Mobile_Postpaid,service,7840388.38
2024-02,Bolivia,Home,service,11739100.6
2024-02,Bolivia,B2B,service,5979114.46
